route_id,route_name,route_order,node_id,ars_id,station_name,longitude,latitude
100100370,8111,21,108000134,9222,두산위브아파트입구,127.0161949742,37.6201498963
100100034,162,21,101000032,2127,북창동.남대문시장,126.978282,37.56123
100100185,1711,21,102000233,3327,갈월동4호선숙대입구,126.971658,37.546385
100100329,6657,21,115000126,16223,서울강서우체국,126.84037,37.564569
100100495,672,21,115000165,16262,SBS공개홀,126.8498490115,37.563659097
100100099,652,21,115000165,16262,SBS공개홀,126.8498490115,37.563659097
100100097,650,21,114000070,15173,오목교역.동신한방병원,126.8769218981,37.5240854759
100100098,651,21,114000230,15334,신월3동주민센터.신월3동우체국,126.8288288926,37.5346648231
100100081,506,21,120000445,21361,호림박물관,126.918618871,37.4823672056
100100267,5535,21,120000017,21116,남서울중학교.성보중고등학교,126.921012,37.482817
100100263,5528,21,120000017,21116,남서울중학교.성보중고등학교,126.921012,37.482817
100100305,6628,21,118000118,19203,양평신동아아파트,126.8873567458,37.5224802186
100100410,502,21,226000124,60012,의왕더샵캐슬아파트.가구단지입 ,126.9634629019,37.3606182554
100100070,441,21,226000124,60012,의왕더샵캐슬아파트.가구단지입 ,126.9634629019,37.3606182554
100100037,172,21,107000001,8001,길음2동주민센터,127.028209324,37.6069061871
100100083,540,21,209000113,56040,나눔초등학교.오뚜기식품.두산번,126.9746051857,37.3918080645
100100261,5525,21,120000241,21604,신림사거리.신원시장,126.9273005902,37.483709205
120900001,동작13,21,119900148,20839,신동아상가,126.9463253599,37.5079978025
119900025,동작13-1,21,119900148,20839,신동아상가,126.9463253599,37.5079978025
108000001,8551,21,120000153,21255,은천동벽산블루밍아파트105동,126.9458637343,37.4893681933
100100009,104,21,100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243
120900002,관악10,21,120900125,21803,난곡터널,126.919017,37.478276
109900011,노원14,21,109000162,10248,국립현대미술관창동레지던시,127.0394443113,37.6398501948
120900003,관악03,21,120900186,21818,우리슈퍼,126.9423212961,37.4901513787
100100104,702A서오릉,21,111000044,12132,신진과학기술고교.이마트은평점,126.9186295811,37.5995376513
100100167,1157,21,109000162,10248,국립현대미술관창동레지던시,127.0394443113,37.6398501948
100000009,8321B,21,123000144,24234,서울체육중.고등학교,127.1313779815,37.5222031515
100100226,3414,21,123000053,24142,잠실엘스아파트앞,127.0833904794,37.5118706155
116900008,영등포01,21,116900118,17967,구로디지털단지역,126.901827,37.484059
120000001,N854,21,121000063,22139,서초아트자이아파트,127.010842,37.485861
100100171,1164,21,107000497,8400,길음뉴타운10단지.라온유아파트,127.0181336142,37.6029875372
100100063,402,21,122000249,23353,개포주공5단지경기여고,127.0674711689,37.4867075784
100100438,3011,21,122000249,23353,개포주공5단지경기여고,127.0674711689,37.4867075784
100100071,461,21,122000249,23353,개포주공5단지경기여고,127.0674711689,37.4867075784
100100400,9707,21,219000329,36716,백석역.고양종합터미널,126.7901025406,37.6450525489
100100564,320,21,104000044,5137,중곡동종점,127.0873093515,37.5626950451
100100595,241,21,106000035,7129,국민은행망우동지점,127.0971021652,37.5994734943
100100220,3314,21,123000364,24456,잠실여고후문,127.1116190362,37.5025010936
124000034,4318B,21,123000061,24150,영동일고트리지움APT정문앞,127.091732,37.509037
100100221,3315,21,123000162,24252,보인고교.오금동삼성아파트,127.138228,37.496447
100100131,1020,21,100000009,1104,경복고교,126.970884,37.58516
123000003,8335,21,123000165,24255,거여초등학교,127.140012,37.50241
100100578,3321,21,124000155,25266,명일1동주민센터,127.1462720633,37.5504780577
100100279,5623,21,225000127,40060,금정역,126.9421569251,37.3716729559
100100498,3318,21,124000121,25232,명일역3번출구.래미안솔베뉴,127.1442239125,37.5518873966
100100265,5531,21,208000004,57047,성결대학.안양아트센터.명학역,126.9336435628,37.3843470489
100100574,541,21,208000002,57035,안양센트럴헤센.KCC스위첸,126.9289224277,37.3900677105
100100264,5530,21,208000001,57029,서안양우체국.국제나은병원,126.9259439774,37.3935968011
100100551,673,21,212000003,45636,내촌사거리,126.7848145778,37.5205138232
104900001,광진04,21,104000065,5158,광진우체국,127.090409,37.537998
107900002,성북03,21,107000142,8232,경신중고입구,127.0028344034,37.5917865725
122900006,강남02,21,122000274,23378,개포지구대,127.0512070611,37.4794452914
115000007,654,21,115000078,16175,등촌2동주민센터.등촌동대림아파트,126.8629698908,37.5419424703
100100095,642,21,115000080,16177,용문사.시립화곡청소년센터,126.8633458107,37.5370972069
111000018,8701,21,111000937,12028,녹번역,126.9350485981,37.6024349118
100100111,720,21,111000937,12028,녹번역,126.9350485981,37.6024349118
117900001,금천05,21,117900028,18792,벽산디지털밸리6차,126.879154,37.48564
100100198,2221,21,105000120,6206,전농래미안크레시티아파트,127.055592,37.576277
119900008,동작19,21,119900217,20951,사자암,126.936404974,37.4937167132
100100462,7715,21,111000302,12393,역촌동성당,126.912148,37.60556
113900013,마포08,21,113900148,14876,서교동교회,126.9192022864,37.5516621838
113900014,마포15,21,113900248,14863,홍대입구역,126.923217,37.55669
121900006,서초11,21,121000042,22118,래미안에스티지,127.025942,37.493118
100100290,6411,21,116000034,17120,남구로역,126.886787,37.485278
100100611,2312,21,124000089,25190,보훈병원,127.143506,37.528915
100100209,2412,21,123000508,24480,잠실대교전망쉼터,127.09479,37.519993
100100211,2415,21,122000340,23453,포스코사거리,127.05574,37.50808
121900011,서초07,21,121900178,22877,오거리,126.996798,37.488814
100100297,6614,21,114000089,15192,양천구청역,126.865327879,37.5125666892
113900010,마포07,21,113000112,14203,창전현대홈타운,126.932199547,37.5507124982
100100579,3420,21,123000078,24167,삼전역,127.0897903395,37.5039542558
100100427,4319,21,122000220,23324,도곡개포한신아파트,127.04938,37.487972
